filename	prompt	timestamp	sample_rate	bit_depth
recording_20250704_180312.wav	ဒါပေမဲ့ ကင်ဆာ ရောဂါ ကြီးထွား လာ ပြီး အန္တရာယ် ရှိ နေ တဲ့ လူတချို့ ရှိ တယ် ။	20250704_180312	16000	16
recording_20250704_180331.wav	ဥပမာ မိသားစု ၀င် ထဲ မှာ ကင်ဆာ ရောဂါ ရှိ တဲ့ သူ ရှိ တာ ဒါမှမဟုတ် သူ က ဆေးလိပ် ကို နှစ်ရှည် သောက် နေ ခဲ့ တာကြောင့် ဖြစ် မယ် ။	20250704_180331	16000	16
recording_20250704_180340.wav	ဒီ မေးခွန်း ကို ခင်ဗျား ကို မေး ရ တာ တော့ စိတ် မ ကောင်း ပါ ဘူး ။	20250704_180340	16000	16
recording_20250704_180348.wav	ခင်ဗျား ရဲ့ မိသားစု ထဲ မှာ ဒီလို ကင်ဆာ ရောဂါ မျိုး စစ်ဆေး တွေ့ရှိ ခံ ထား ရ တဲ့ သူ ရှိ လား ။	20250704_180348	16000	16
recording_20250704_180352.wav	သူ ဆေးလိပ် သောက် ပါ သလား ။	20250704_180352	16000	16
recording_20250704_180424.wav	ဒီအရာတွေက တစ်စုံတစ်ယောက် ကို ကင်ဆာရောဂါ ဖြစ်နိုင်ခြေ ကို ဖြစ်စေတယ် လို့ ကျွန်တော် အလေးအနက် ပြော ချင် ပါ တယ် ။ ဒါပေမဲ့ ဒါတွေက လုံလောက် တဲ့ အကြောင်းရင်း တော့ မ ဟုတ် ပါ ဘူး ။	20250704_180424	16000	16
recording_20250704_180529.wav	ကျွန်တော် ခင်ဗျား ကို စမ်းသပ် ဖို့ ရောက်ရှိ နေ ပါ တယ် ။ ကျွန်တော် ခင်ဗျား ရဲ့ ရင်သား ကို ထိ ပြီး စစ်ဆေး ကြည့်ရှု ဖို့ ပါ၀င် ပါ တယ် ။ အဲဒါ အဆင်ပြေ ပါ သလား ။	20250704_180529	16000	16
recording_20250704_180553.wav	ခင်ဗျား ရဲ့ လက် ကို ကျေးဇူးပြု ပြီး မြှောက် ပေး လို့ ရ ပါ သလား ။ ကျေးဇူးတင် ပါ တယ် ။	20250704_180553	16000	16
recording_20250704_180603.wav	ဘယ် နေရာ က နာ နေ တာ လဲ ။ ခင်ဗျား ကျွန်တော့် ကို လက်ညှိုး နဲ့ ထောက်ပြ နိုင် မလား ။	20250704_180603	16000	16
recording_20250704_180610.wav	ဘယ်လို စ ဖြစ် တာ ပါ လဲ ။ ရုတ်တရက် လား ၊ ဖြည်းဖြည်းချင်း လား ။	20250704_180610	16000	16
recording_20250704_180651.wav	ဘယ်လို နာကျင်မှု မျိုး လဲ ။ ဆက်တိုက် နာ တာ လား ။ တင်းကျပ်ကျပ် နာ တာ လား ။ စူးခနဲ နာ တာ လား ။	20250704_180651	16000	16
recording_20250704_180659.wav	နာ တာ တခြား နေရာ ပြောင်း သွား သေး လား ။	20250704_180659	16000	16
recording_20250704_180721.wav	အချိန် တသတ်မတ် တည်း နာ တာ လား ။ ဒါမှမဟုတ် ပိုဆိုး လာ လား ။ အမြဲ နာ နေ တာ လား ။ ပေါ် လိုက် ပျောက် လိုက် လား ။	20250704_180721	16000	16
recording_20250704_180728.wav	နာ တာ ကို ပိုဆိုးလာစေတဲ့ အရာ ရှိ လား ။ နာ တာ ကို သက်သာ အောင် လုပ် လို့ ရ တဲ့ အရာ ရှိ လား ။	20250704_180728	16000	16
recording_20250704_180747.wav	၁ - ၁၀ စကေး ပေါ်မှာ ၊ ၁ ကို နာကျင်မှု အနဲဆုံး နဲ့ ၁၀ ကို နာကျင်မှု အများဆုံး သတ်မှတ် ရင် ၊ ခင်ဗျား ရဲ့ နာကျင်မှု ကို ခင်ဗျား ဘယ်လောက် ပေး မလဲ ။	20250704_180747	16000	16
recording_20250704_180757.wav	ဘယ် အချိန် က စ ဖြစ် ခဲ့ တာ လဲ ။ ခင်ဗျား ဒီ ရောဂါ လက္ခဏာ ဖြစ် နေ တာ ဘယ်လောက် ကြာ ပြီ လဲ ။	20250704_180757	16000	16
recording_20250704_180816.wav	အဲ တာ က ဆိုး လာ လား ။ သက်သာ လား ။ တူတူ ပဲ လား ။	20250704_180816	16000	16
recording_20250704_180951.wav	ခင်ဗျား ဒီ ရောဂါ လက္ခဏာ ဖြစ် တာ ဒါ ပထမဆုံး လား ။	20250704_180951	16000	16
recording_20250704_180958.wav	ခင်ဗျား မှာ ရောဂါ အခြေအနေ တစ်ခု ခု ရှိ လား ။	20250704_180958	16000	16
recording_20250704_181003.wav	ခင်ဗျား အရင် က အကြောင်း တစ်ခု ခု နဲ့ ဆေးရုံ တက် ဖူး လား ။	20250704_181003	16000	16
recording_20250704_181017.wav	ခင်ဗျား ခွဲစိတ်မှု ခံယူ ဖူး လား ။	20250704_181017	16000	16
